phytozome_code,uniprot_mnemonic,scientific_name,notes
Acoe,,Aquilegia coerulea,
Afil,,Azolla filiculoides,
Atha,ARATH,Arabidopsis thaliana,
Atri,AMBTC,Amborella trichopoda,
Bdis,BRADI,Brachypodium distachyon,
Bole,BRAOL,Brassica oleracea,
Cbra,,Chara braunii,
Cpap,CARPA,Carica papaya,
Crei,CHLRE,Chlamydomonas reinhardtii,
Csin,CITSI,Citrus sinensis,
Dcar,DAUCA,Daucus carota,
Dsal,DUNSA,Dunaliella salina,
Egra,EUCGR,Eucalyptus grandis,
Gmax,SOYBN,Glycine max,
Grai,,Gossypium raimondii,
Macu,MUSAC,Musa acuminata,
Mdom,MALDO,Malus domestica,typo corrected: 'Mallus domesticus' -> 'Malus domestica'
Mesc,MANES,Manihot esculenta,
Mgut,,Mimulus guttatus,
Mpol,MARPO,Marchantia polymorpha,
Mpus,MICPC,Micromonas pusilla,
Mtru,MEDTR,Medicago truncatula,
Oluc,OSTLU,Ostreococcus lucimarinus,
Osat,ORYSA,Oryza sativa,
Pabi,PICAB,Picea abies,
Ptae,PINTA,Pinus taeda,
Ppat,,Physcomitrella patens,
Pper,PRUPE,Prunus persica,
Ptri,POPTR,Populus trichocarpa,
Rcom,RICCO,Ricinus communis,
Sbic,SORBI,Sorghum bicolor,
Scuc,,Salvinia cucullata,
Sita,SETIT,Setaria italica,
Slyc,SOLLC,Solanum lycopersicum,
Smoe,,Selaginella moellendorfii,
Vvin,VITVI,Vitis vinifera,
Zmay,MAIZE,Zea mays,
