entity,bucket,sub_type,match_status,match_type,confidence_tier,ambiguity_count,matched_species_category,species_match_status,species_resolution_status,selected_uniprot_accession,selected_phytozome_gene_id,candidate_summary,notes,unresolved_reason,phase8_attempted,phase8_reason_still_unresolved,phase8_best_attempted_method,description_overlap_score,phase8_notes
(C/T)ACGTGTC,E,noise_sequence_motif,skipped_noise,noise_skipped,6,0,noise_skipped,not_applicable,not_applicable,,,,noise_sequence_motif,noise_or_not_gene,false,skipped_unrecoverable,none,,bucket_E_noise
(Cu/Zn)SOD,D,descriptive_name,deferred_description,descriptive_deferred,5,0,descriptive_deferred,not_applicable,not_applicable,,,,descriptive matching deferred to later version,needs_description_matching,true,skipped_unrecoverable,description,,description prefilter: too_few_informative_tokens
(iso)floridoside-6-phosphate synthases,D,descriptive_name,deferred_description,descriptive_deferred,5,0,descriptive_deferred,not_applicable,not_applicable,,,,descriptive matching deferred to later version,needs_description_matching,true,no_phase8_match,description,,description_no_good_match
(Mn)SOD,D,descriptive_name,deferred_description,descriptive_deferred,5,0,descriptive_deferred,not_applicable,not_applicable,,,,descriptive matching deferred to later version,needs_description_matching,true,skipped_unrecoverable,description,,description prefilter: too_few_informative_tokens
(NAD+)-dependent MDH,D,descriptive_name,deferred_description,descriptive_deferred,5,0,descriptive_deferred,not_applicable,not_applicable,,,,descriptive matching deferred to later version,needs_description_matching,true,no_phase8_match,description,,description_no_good_match
(NAD+)-dependent MDHs,D,descriptive_name,deferred_description,descriptive_deferred,5,0,descriptive_deferred,not_applicable,not_applicable,,,,descriptive matching deferred to later version,needs_description_matching,true,no_phase8_match,description,,description_no_good_match
(NADP+)-dependent MDH,D,descriptive_name,deferred_description,descriptive_deferred,5,0,descriptive_deferred,not_applicable,not_applicable,,,,descriptive matching deferred to later version,needs_description_matching,true,no_phase8_match,description,,description_no_good_match
(NADP+)-dependent MDH (oxaloacetate-decarboxylating),D,descriptive_name,deferred_description,descriptive_deferred,5,0,descriptive_deferred,not_applicable,not_applicable,,,,descriptive matching deferred to later version,needs_description_matching,true,no_phase8_match,description,,description_no_good_match
05,E,noise_number,skipped_noise,noise_skipped,6,0,noise_skipped,not_applicable,not_applicable,,,,noise_number,noise_or_not_gene,false,skipped_unrecoverable,none,,bucket_E_noise
06,E,noise_number,skipped_noise,noise_skipped,6,0,noise_skipped,not_applicable,not_applicable,,,,noise_number,noise_or_not_gene,false,skipped_unrecoverable,none,,bucket_E_noise
