entity,original_bucket,original_sub_type,original_unresolved_reason,phase8_match_status,phase8_match_type,phase8_match_category,phase8_confidence_label,phase8_confidence_score,description_overlap_score,selected_uniprot_accession,selected_uniprot_entry_name,selected_uniprot_organism,selected_uniprot_source_tier,selected_phytozome_code,selected_phytozome_gene_id,selected_phytozome_base_gene_id,selected_sequence_length,has_sequence,candidate_count,candidate_summary,notes,phase8_quality_flag,phase8_quality_notes
(+)-larreatricin hydroxylase 1,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A061GFI2,A0A061GFI2_THECC,THECC,trembl,,,,,false,9,A0A061GFI2|A0A061GFI2_THECC|THECC|trembl(ov=1.00); A0A061GEN3|A0A061GEN3_THECC|THECC|trembl(ov=1.00); A0AAE2BUG2|A0AAE2BUG2_9LAMI|9LAMI|trembl(ov=1.00); A0AAE2BH39|A0AAE2BH39_9LAMI|9LAMI|trembl(ov=1.00); A0AAE1W5L5|A0AAE1W5L5_9LAMI|9LAMI|trembl(ov=1.00),"strong description match, 3 organisms (ambiguous)",ok,
(-) -germacrene D synthase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,Q5SBP6,GDS_OCIBA,OCIBA,sprot,,,,,false,9,Q5SBP6|GDS_OCIBA|OCIBA|sprot(ov=1.00); M0ZP06|M0ZP06_SOLTU|SOLTU|trembl(ov=1.00); M0ZP05|M0ZP05_SOLTU|SOLTU|trembl(ov=1.00); A0AA38YLD9|A0AA38YLD9_VITRO|VITRO|trembl(ov=1.00); A0AA38YK58|A0AA38YK58_VITRO|VITRO|trembl(ov=1.00),"strong description match, 6 organisms (ambiguous)",ok,
(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A061GFW6,A0A061GFW6_THECC,THECC,trembl,,,,,false,5,A0A061GFW6|A0A061GFW6_THECC|THECC|trembl(ov=1.00); A0A061GDR9|A0A061GDR9_THECC|THECC|trembl(ov=1.00); A0A392MT77|A0A392MT77_9FABA|9FABA|trembl(ov=1.00); A0A061GLS4|A0A061GLS4_THECC|THECC|trembl(ov=1.00); A0A061GF38|A0A061GF38_THECC|THECC|trembl(ov=1.00),"strong description match, 2 organisms (ambiguous)",ok,
(Ca2+)-dependent protein kinases,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A2XCH8,CKS1_ORYSI,ORYSI,sprot,,,,,false,3,A2XCH8|CKS1_ORYSI|ORYSI|sprot(ov=1.00); Q6PS57|CKS1_ORYSJ|ORYSJ|sprot(ov=1.00); Q9SJJ5|CKS2_ARATH|ARATH|sprot(ov=1.00),"strong description match, 3 organisms (ambiguous)",ok,
(E)-beta-caryophyllene/alpha-humulene synthase gene,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A3L6G6Y4,A0A3L6G6Y4_MAIZE,MAIZE,trembl,,,,,false,10,A0A3L6G6Y4|A0A3L6G6Y4_MAIZE|MAIZE|trembl(ov=1.00); A0A4D6NAE0|A0A4D6NAE0_VIGUN|VIGUN|trembl(ov=1.00); A0A1D6EFQ5|A0A1D6EFQ5_MAIZE|MAIZE|trembl(ov=1.00); A0A1D6IY13|A0A1D6IY13_MAIZE|MAIZE|trembl(ov=1.00); A0A1D6IY24|A0A1D6IY24_MAIZE|MAIZE|trembl(ov=1.00),"strong description match, 2 organisms (ambiguous)",ok,
(NAD+)-dependent malate dehydrogenase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A072VNB9,A0A072VNB9_MEDTR,MEDTR,trembl,,,,,false,6,A0A072VNB9|A0A072VNB9_MEDTR|MEDTR|trembl(ov=1.00); A0A2Z7A0L6|A0A2Z7A0L6_9LAMI|9LAMI|trembl(ov=1.00); A0A2Z7D5S7|A0A2Z7D5S7_9LAMI|9LAMI|trembl(ov=1.00); A0A5N5EXC2|A0A5N5EXC2_9ROSA|9ROSA|trembl(ov=1.00); D8LQY3|D8LQY3_ECTSI|ECTSI|trembl(ov=1.00),"strong description match, 5 organisms (ambiguous)",ok,
(NADP+)-dependent malate dehydrogenase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A072VNB9,A0A072VNB9_MEDTR,MEDTR,trembl,,,,,false,6,A0A072VNB9|A0A072VNB9_MEDTR|MEDTR|trembl(ov=1.00); A0A2Z7A0L6|A0A2Z7A0L6_9LAMI|9LAMI|trembl(ov=1.00); A0A2Z7D5S7|A0A2Z7D5S7_9LAMI|9LAMI|trembl(ov=1.00); A0A5N5EXC2|A0A5N5EXC2_9ROSA|9ROSA|trembl(ov=1.00); D8LQY3|D8LQY3_ECTSI|ECTSI|trembl(ov=1.00),"strong description match, 5 organisms (ambiguous)",ok,
(NADP+)-dependent malate dehydrogenase (oxaloacetate-decarboxylating),D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A072VNB9,A0A072VNB9_MEDTR,MEDTR,trembl,,,,,false,6,A0A072VNB9|A0A072VNB9_MEDTR|MEDTR|trembl(ov=1.00); A0A2Z7A0L6|A0A2Z7A0L6_9LAMI|9LAMI|trembl(ov=1.00); A0A2Z7D5S7|A0A2Z7D5S7_9LAMI|9LAMI|trembl(ov=1.00); A0A5N5EXC2|A0A5N5EXC2_9ROSA|9ROSA|trembl(ov=1.00); D8LQY3|D8LQY3_ECTSI|ECTSI|trembl(ov=1.00),"strong description match, 5 organisms (ambiguous)",ok,
"(R, R)-2,3-butanediol dehydrogenase",D,descriptive_name,needs_description_matching,matched,description,description_single_species_match,medium,60,1.0,A0AAD9LN65,A0AAD9LN65_9STRA,9STRA,trembl,,,,,false,1,A0AAD9LN65|A0AAD9LN65_9STRA|9STRA|trembl(ov=1.00),"strong description match, single organism",broad_taxon_warning,broad_taxon_warning
(S)-2-hydroxy-acid oxidase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A5N6L3K1,A0A5N6L3K1_9ROSI,9ROSI,trembl,,,,,false,6,A0A5N6L3K1|A0A5N6L3K1_9ROSI|9ROSI|trembl(ov=1.00); A0AAE0FHV0|A0AAE0FHV0_9CHLO|9CHLO|trembl(ov=1.00); A0A9P1CIR9|A0A9P1CIR9_9DINO|9DINO|trembl(ov=1.00); A0A7S1SR74|A0A7S1SR74_9CHLO|9CHLO|trembl(ov=1.00); A0A8J1ZPK0|A0A8J1ZPK0_9DINO|9DINO|trembl(ov=1.00),"strong description match, 3 organisms (ambiguous)",broad_taxon_warning,broad_taxon_warning
"1,4-beta-D-xylan synthase",D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0AAD8IIZ5,A0AAD8IIZ5_9APIA,9APIA,trembl,,,,,false,3,A0AAD8IIZ5|A0AAD8IIZ5_9APIA|9APIA|trembl(ov=1.00); A0A4D6LLH8|A0A4D6LLH8_VIGUN|VIGUN|trembl(ov=1.00); A0A4D6LLB4|A0A4D6LLB4_VIGUN|VIGUN|trembl(ov=1.00),"strong description match, 2 organisms (ambiguous)",broad_taxon_warning,broad_taxon_warning
