entity,bucket,sub_type,extracted_species_prefix,extracted_gene_symbol,notes
(+)-larreatricin hydroxylase 1,D,descriptive_name,,,
(-) -germacrene D synthase,D,descriptive_name,,,
(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase,D,descriptive_name,,,
(C/T)ACGTGTC,E,noise_sequence_motif,,,
(Ca2+)-dependent protein kinases,D,descriptive_name,,,
(Cu/Zn)SOD,D,descriptive_name,,,
(E)-beta-caryophyllene/alpha-humulene synthase gene,D,descriptive_name,,,
(iso)floridoside-6-phosphate synthases,D,descriptive_name,,,
(Mn)SOD,D,descriptive_name,,,
(NAD+)-dependent malate dehydrogenase,D,descriptive_name,,,
(NAD+)-dependent MDH,D,descriptive_name,,,
(NAD+)-dependent MDHs,D,descriptive_name,,,
(NADP+)-dependent malate dehydrogenase,D,descriptive_name,,,
(NADP+)-dependent malate dehydrogenase (oxaloacetate-decarboxylating),D,descriptive_name,,,
(NADP+)-dependent MDH,D,descriptive_name,,,
(NADP+)-dependent MDH (oxaloacetate-decarboxylating),D,descriptive_name,,,
"(R, R)-2,3-butanediol dehydrogenase",D,descriptive_name,,,
(S)-2-hydroxy-acid oxidase,D,descriptive_name,,,
05,E,noise_number,,,
06,E,noise_number,,,
08,E,noise_number,,,
"1,3-beta-glucanases",D,descriptive_name,,,
"1,3-β glucanases",D,descriptive_name,,,
"1,3-β-glucanases",D,descriptive_name,,,
"1,4-beta-D-xylan synthase",D,descriptive_name,,,
1-acyl-sn-glycerol-3-phosphate acyltransferase-like,D,descriptive_name,,,
1-amino cyclopropane 1-carboxylic acid oxidase,D,descriptive_name,,,
1-aminociclopropano-1-carboxilato deaminase,D,descriptive_name,,,
1-aminocyclopropane carboxylate oxidase,D,descriptive_name,,,
1-aminocyclopropane carboxylate oxidases,D,descriptive_name,,,
1-aminocyclopropane-1-carboxylate (ACC) deaminase,D,descriptive_name,,,
1-aminocyclopropane-1-carboxylate (ACC) synthase,D,descriptive_name,,,
1-aminocyclopropane-1-carboxylate deaminase,D,descriptive_name,,,
1-aminocyclopropane-1-carboxylate oxidase,D,descriptive_name,,,
1-aminocyclopropane-1-carboxylate oxidase 1,D,descriptive_name,,,
1-aminocyclopropane-1-carboxylate oxidase 3,D,descriptive_name,,,
1-aminocyclopropane-1-carboxylate oxidase homolog 1-like,D,descriptive_name,,,
1-aminocyclopropane-1-carboxylate oxidases,D,descriptive_name,,,
1-aminocyclopropane-1-carboxylate synthase,D,descriptive_name,,,
1-aminocyclopropane-1-carboxylate synthase gene,D,descriptive_name,,,
1-aminocyclopropane-1-carboxylate synthases,D,descriptive_name,,,
1-aminocyclopropane-1-carboxylic acid deaminase,D,descriptive_name,,,
1-aminocyclopropane-1-carboxylic acid oxidase,D,descriptive_name,,,
1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID OXIDASE2,D,descriptive_name,,,
1-cys peroxiredoxin A,D,descriptive_name,,,
1-deoxy-D-xylulose 5-phosphate reductoisomerase,D,descriptive_name,,,
1-Deoxy-D-Xylulose 5-Phosphate Synthase,D,descriptive_name,,,
1-deoxy-D-xylulose-5-phosphate reductoisomerase,D,descriptive_name,,,
1-deoxy-D-xylulose-5-phosphate synthase,D,descriptive_name,,,
1-deoxy-D-xylulose-5-phosphate synthase gene,D,descriptive_name,,,
1-O-acylglucose: anthocyanin acyltransferase,D,descriptive_name,,,
1-phosphatidylinositol-4-phosphate 5-kinase,D,descriptive_name,,,
1-pyrrolidone-5-carboxylate synthase,D,descriptive_name,,,
1-pyrroline-5-carboxylate dehydrogenase,D,descriptive_name,,,
1-pyrroline-5-carboxylate synthase,D,descriptive_name,,,
1-SST,D,descriptive_name,,,
1.1.1.195,D,descriptive_name,,,
1.14.14.91,D,descriptive_name,,,
1.14.20.6,D,descriptive_name,,,
1.2.1.44,D,descriptive_name,,,
1.3,D,descriptive_name,,,
1.4,D,descriptive_name,,,
1.5,D,descriptive_name,,,
1.7,D,descriptive_name,,,
10,E,noise_number,,,
10 common genes,D,descriptive_name,,,
10 kDa chaperonin,D,descriptive_name,,,
10 key genes,D,descriptive_name,,,
10-deacetylbaccatin III 10-O-acetyltransferase,D,descriptive_name,,,
10-geraniol hydroxylase,D,descriptive_name,,,
101,E,noise_number,,,
102 R2R3-MYB genes,D,descriptive_name,,,
106 R2R3-MYB genes,D,descriptive_name,,,
11,E,noise_number,,,
11-13,D,descriptive_name,,,
117 R2R3-MYB genes,D,descriptive_name,,,
11S globulins,D,descriptive_name,,,
12,E,noise_number,,,
12 bZIP members,D,descriptive_name,,,
12-OPDA reductase,D,descriptive_name,,,
12-oxo-phytodienoate reductase,D,descriptive_name,,,
12-oxo-phytodienoic acid reductase,D,descriptive_name,,,
12-oxo-phytodienoic acid reductase 3,D,descriptive_name,,,
12-oxophytodienoate reductase,D,descriptive_name,,,
12-oxophytodienoate reductase 1,D,descriptive_name,,,
12-oxophytodienoate reductase-like protein,D,descriptive_name,,,
12-oxophytodienoate reductases,D,descriptive_name,,,
12-oxophytodienoic acid reductase,D,descriptive_name,,,
12-oxophytodieonate reductase 3,D,descriptive_name,,,
12KD_FRAAN,D,descriptive_name,,,
12KD_FRAAN protein,D,descriptive_name,,,
12S globulins,D,descriptive_name,,,
12S/2S protein ratio,D,descriptive_name,,,
13,E,noise_number,,,
13 kDa gliadin,D,descriptive_name,,,
13 kDa prolamin,D,descriptive_name,,,
13 kDa subunit,D,descriptive_name,,,
13-AOS,D,descriptive_name,,,
13-LIPOXYGENASE,D,descriptive_name,,,
13-LOX,D,descriptive_name,,,
13S-lipoxygenase,D,descriptive_name,,,
13S-lipoxygenase 2,D,descriptive_name,,,
14,E,noise_number,,,
14 kDa proline-rich protein DC2.15,D,descriptive_name,,,
14-3-3,D,descriptive_name,,,
14-3-3 genes,D,descriptive_name,,,
14-3-3 protein,D,descriptive_name,,,
14-3-3 protein family,D,descriptive_name,,,
14-3-3 proteins,D,descriptive_name,,,
14-3-3-like protein A,D,descriptive_name,,,
14-3-3s,D,descriptive_name,,,
140 R2R3-MYB genes,D,descriptive_name,,,
15,E,noise_number,,,
15 genes,D,descriptive_name,,,
15-17,D,descriptive_name,,,
15-cis-phytoene desaturase,D,descriptive_name,,,
15-cis-phytoene synthase,D,descriptive_name,,,
15-cis-zeta-carotene isomerase,D,descriptive_name,,,
15-lipoxygenase,D,descriptive_name,,,
15-LOX,D,descriptive_name,,,
16,E,noise_number,,,
16-kDa γ-zein,D,descriptive_name,,,
16:1/18:1 desaturase,D,descriptive_name,,,
16S rRNA,D,descriptive_name,,,
16S rRNA gene,D,descriptive_name,,,
16S rRNA sequences,D,descriptive_name,,,
16SrRNA,D,descriptive_name,,,
17,E,noise_number,,,
17.7,D,descriptive_name,,,
18,E,noise_number,,,
18S,D,descriptive_name,,,
18S ribosomal gene,D,descriptive_name,,,
18S rRNA,D,descriptive_name,,,
18S rRNA gene,D,descriptive_name,,,
18S rRNA genes,D,descriptive_name,,,
18SrRNA-1,D,descriptive_name,,,
18SrRNA-3,D,descriptive_name,,,
19,E,noise_number,,,
19-21,D,descriptive_name,,,
