entity,original_bucket,original_unresolved_reason,phase8_match_category,phase8_confidence_label,selected_uniprot_accession,selected_uniprot_entry_name,selected_uniprot_organism,selected_uniprot_source_tier,selected_phytozome_code,selected_phytozome_gene_id,selected_sequence_length,description_overlap_score,candidate_summary,notes,phase8_quality_flag,phase8_quality_notes,manual_review_label,manual_review_notes
Os05g0128900,A,excluded_by_filter,phase8_crossref_species_confirmed_match,high,A0A0P0WHK2,A0A0P0WHK2_ORYSJ,ORYSJ,trembl,,,,,A0A0P0WHK2|A0A0P0WHK2_ORYSJ|ORYSJ|trembl,UniProt cross-reference id (refseq/ensembl/tair/gramene) (species-confirmed),ok,,,
Bol039362,C,no_species_no_match,phase8_sequence_confirmed_match,high,,,,,Bole,Bol039362,101,,Bole|Bol039362|len=101,Phytozome gene-id cross-reference,ok,,,
sterol 14-demethylase,D,needs_description_matching,description_multi_species_ambiguous,low,A0A9W6F6H6,A0A9W6F6H6_9CHLO,9CHLO,trembl,,,,1.0,A0A9W6F6H6|A0A9W6F6H6_9CHLO|9CHLO|trembl(ov=1.00); A0A7J6H7Z4|A0A7J6H7Z4_CANSA|CANSA|trembl(ov=1.00); A0AA39DIF6|A0AA39DIF6_VITRO|VITRO|trembl(ov=1.00); A0AA39ALY6|A0AA39ALY6_VITRO|VITRO|trembl(ov=1.00); A0A251R110|A0A251R110_PRUPE|PRUPE|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",broad_taxon_warning,broad_taxon_warning,,
high-affinity nitrate transporters,D,needs_description_matching,description_partial_match,low,K3YVS4,K3YVS4_SETIT,SETIT,trembl,,,,0.75,K3YVS4|K3YVS4_SETIT|SETIT|trembl(ov=0.75); K3YVS6|K3YVS6_SETIT|SETIT|trembl(ov=0.75); I1IB71|I1IB71_BRADI|BRADI|trembl(ov=0.75); I1IB70|I1IB70_BRADI|BRADI|trembl(ov=0.75); A0A398APY4|A0A398APY4_BRACM|BRACM|trembl(ov=0.75),partial description match (coverage),generic_description_warning,generic_description_warning,,
hydroxymethylglutaryl-CoA reductase,D,needs_description_matching,description_single_species_match,medium,A0A9P1BYI6,A0A9P1BYI6_9DINO,9DINO,trembl,,,,1.0,A0A9P1BYI6|A0A9P1BYI6_9DINO|9DINO|trembl(ov=1.00),"strong description match, single organism",multiple_warnings,broad_taxon_warning; non_land_plant_warning,,
TraesCS3D03G0294800,D,needs_description_matching,phase8_crossref_uniprot_match,medium,A0A3B6GNG1,A0A3B6GNG1_WHEAT,WHEAT,trembl,,,,,A0A3B6GNG1|A0A3B6GNG1_WHEAT|WHEAT|trembl,UniProt cross-reference id (refseq/ensembl/tair/gramene),ok,,,
MaCESA7,B,unknown_prefix_ambiguous,unknown_prefix_multi_species_ambiguous,low,Q9SWW6,CESA7_ARATH,ARATH,sprot,,,,,Q9SWW6|CESA7_ARATH|ARATH|sprot; Q9AV71|CESA7_ORYSJ|ORYSJ|sprot,global symbol CESA7: 2 organisms (ambiguous),ok,,,
LcMYB186,B,unknown_prefix_ambiguous,unknown_prefix_single_species_candidate,medium,Q0PJC0,Q0PJC0_SOYBN,SOYBN,trembl,,,,,Q0PJC0|Q0PJC0_SOYBN|SOYBN|trembl,global symbol MYB186: single organism SOYBN,ok,,,
Os12g0409000,A,excluded_by_filter,phase8_crossref_species_confirmed_match,high,Q2QT32,Q2QT32_ORYSJ,ORYSJ,trembl,,,,,Q2QT32|Q2QT32_ORYSJ|ORYSJ|trembl,UniProt cross-reference id (refseq/ensembl/tair/gramene) (species-confirmed),ok,,,
Bol036512,C,no_species_no_match,phase8_sequence_confirmed_match,high,,,,,Bole,Bol036512,280,,Bole|Bol036512|len=280,Phytozome gene-id cross-reference,ok,,,
