dataset_tier,entity,bucket,sub_type,final_match_category,final_confidence_label,final_confidence_score,uniprot_accession,uniprot_entry_name,uniprot_organism,uniprot_source_tier,phytozome_code,phytozome_gene_id,phytozome_base_gene_id,sequence_length,has_sequence,expected_phytozome_code,expected_uniprot_mnemonic,original_match_status,original_match_type,original_confidence_tier,ambiguity_count,matched_species_category,species_match_status,species_resolution_status,candidate_summary,notes,source_phase,recovered_by_phase8,phase8_match_type,phase8_match_category,description_overlap_score,phase8_notes,phase8_quality_flag,phase8_quality_notes
confidence,Bol005916,C,bare_gene_symbol,phase8_sequence_confirmed_match,high,95,,,,,Bole,Bol005916,Bol005916,229,true,,,unresolved,no_species_no_match,,1,phase8_sequence_confirmed_match,no_species_provided,no_species_provided,Bole|Bol005916|len=229,Phytozome gene-id cross-reference,8,true,crossref,phase8_sequence_confirmed_match,,Phytozome gene-id cross-reference,ok,
confidence,Bol007667,C,bare_gene_symbol,phase8_sequence_confirmed_match,high,95,,,,,Bole,Bol007667,Bol007667,462,true,,,unresolved,no_species_no_match,,1,phase8_sequence_confirmed_match,no_species_provided,no_species_provided,Bole|Bol007667|len=462,Phytozome gene-id cross-reference,8,true,crossref,phase8_sequence_confirmed_match,,Phytozome gene-id cross-reference,ok,
confidence,Bol009568,C,bare_gene_symbol,phase8_sequence_confirmed_match,high,95,,,,,Bole,Bol009568,Bol009568,822,true,,,unresolved,no_species_no_match,,1,phase8_sequence_confirmed_match,no_species_provided,no_species_provided,Bole|Bol009568|len=822,Phytozome gene-id cross-reference,8,true,crossref,phase8_sequence_confirmed_match,,Phytozome gene-id cross-reference,ok,
confidence,Bol009860,C,bare_gene_symbol,phase8_sequence_confirmed_match,high,95,,,,,Bole,Bol009860,Bol009860,259,true,,,unresolved,no_species_no_match,,1,phase8_sequence_confirmed_match,no_species_provided,no_species_provided,Bole|Bol009860|len=259,Phytozome gene-id cross-reference,8,true,crossref,phase8_sequence_confirmed_match,,Phytozome gene-id cross-reference,ok,
confidence,Bol016003,C,bare_gene_symbol,phase8_sequence_confirmed_match,high,95,,,,,Bole,Bol016003,Bol016003,177,true,,,unresolved,no_species_no_match,,1,phase8_sequence_confirmed_match,no_species_provided,no_species_provided,Bole|Bol016003|len=177,Phytozome gene-id cross-reference,8,true,crossref,phase8_sequence_confirmed_match,,Phytozome gene-id cross-reference,ok,
confidence,Bol027348,C,bare_gene_symbol,phase8_sequence_confirmed_match,high,95,,,,,Bole,Bol027348,Bol027348,266,true,,,unresolved,no_species_no_match,,1,phase8_sequence_confirmed_match,no_species_provided,no_species_provided,Bole|Bol027348|len=266,Phytozome gene-id cross-reference,8,true,crossref,phase8_sequence_confirmed_match,,Phytozome gene-id cross-reference,ok,
confidence,Bol036512,C,bare_gene_symbol,phase8_sequence_confirmed_match,high,95,,,,,Bole,Bol036512,Bol036512,280,true,,,unresolved,no_species_no_match,,1,phase8_sequence_confirmed_match,no_species_provided,no_species_provided,Bole|Bol036512|len=280,Phytozome gene-id cross-reference,8,true,crossref,phase8_sequence_confirmed_match,,Phytozome gene-id cross-reference,ok,
confidence,Bol039362,C,bare_gene_symbol,phase8_sequence_confirmed_match,high,95,,,,,Bole,Bol039362,Bol039362,101,true,,,unresolved,no_species_no_match,,1,phase8_sequence_confirmed_match,no_species_provided,no_species_provided,Bole|Bol039362|len=101,Phytozome gene-id cross-reference,8,true,crossref,phase8_sequence_confirmed_match,,Phytozome gene-id cross-reference,ok,
confidence,MDP0000440654,D,descriptive_name,phase8_sequence_confirmed_match,high,95,,,,,Mdom,MDP0000440654,MDP0000440654,347,true,,,unresolved,needs_description_matching,,1,phase8_sequence_confirmed_match,not_applicable,not_applicable,Mdom|MDP0000440654|len=347,Phytozome gene-id cross-reference,8,true,crossref,phase8_sequence_confirmed_match,,Phytozome gene-id cross-reference,ok,
confidence,Os01g0192300,A,rice_locus_rap,phase8_crossref_species_confirmed_match,high,85,A0A8J8Y229,A0A8J8Y229_ORYSJ,ORYSJ,trembl,,,,,false,Osat,ORYSJ,unresolved,excluded_by_filter,,3,phase8_crossref_species_confirmed_match,species_confirmed,known_locus_species,A0A8J8Y229|A0A8J8Y229_ORYSJ|ORYSJ|trembl,UniProt cross-reference id (refseq/ensembl/tair/gramene) (species-confirmed),8,true,crossref,phase8_crossref_species_confirmed_match,,UniProt cross-reference id (refseq/ensembl/tair/gramene) (species-confirmed),ok,
