protein_json_id,entity,full_json_path,best_only_json_path,dataset_membership,has_sequence,sequence_ref,match_count,best_match_category
protein_000001,(+)-larreatricin hydroxylase 1,outputs/json_dataset/full/protein_000001.json,outputs/json_dataset/best_only/protein_000001.json,unresolved,false,,0,descriptive_deferred
protein_000002,(-) -germacrene D synthase,outputs/json_dataset/full/protein_000002.json,outputs/json_dataset/best_only/protein_000002.json,unresolved,false,,0,descriptive_deferred
protein_000003,(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase,outputs/json_dataset/full/protein_000003.json,outputs/json_dataset/best_only/protein_000003.json,unresolved,false,,0,descriptive_deferred
protein_000004,(C/T)ACGTGTC,outputs/json_dataset/full/protein_000004.json,outputs/json_dataset/best_only/protein_000004.json,unresolved,false,,0,noise_skipped
protein_000005,(Ca2+)-dependent protein kinases,outputs/json_dataset/full/protein_000005.json,outputs/json_dataset/best_only/protein_000005.json,unresolved,false,,0,descriptive_deferred
protein_000006,(Cu/Zn)SOD,outputs/json_dataset/full/protein_000006.json,outputs/json_dataset/best_only/protein_000006.json,unresolved,false,,0,descriptive_deferred
protein_000007,(E)-beta-caryophyllene/alpha-humulene synthase gene,outputs/json_dataset/full/protein_000007.json,outputs/json_dataset/best_only/protein_000007.json,unresolved,false,,0,descriptive_deferred
protein_000008,(iso)floridoside-6-phosphate synthases,outputs/json_dataset/full/protein_000008.json,outputs/json_dataset/best_only/protein_000008.json,unresolved,false,,0,descriptive_deferred
protein_000009,(Mn)SOD,outputs/json_dataset/full/protein_000009.json,outputs/json_dataset/best_only/protein_000009.json,unresolved,false,,0,descriptive_deferred
protein_000010,(NAD+)-dependent malate dehydrogenase,outputs/json_dataset/full/protein_000010.json,outputs/json_dataset/best_only/protein_000010.json,unresolved,false,,0,descriptive_deferred
protein_000011,(NAD+)-dependent MDH,outputs/json_dataset/full/protein_000011.json,outputs/json_dataset/best_only/protein_000011.json,unresolved,false,,0,descriptive_deferred
protein_000012,(NAD+)-dependent MDHs,outputs/json_dataset/full/protein_000012.json,outputs/json_dataset/best_only/protein_000012.json,unresolved,false,,0,descriptive_deferred
protein_000013,(NADP+)-dependent malate dehydrogenase,outputs/json_dataset/full/protein_000013.json,outputs/json_dataset/best_only/protein_000013.json,unresolved,false,,0,descriptive_deferred
protein_000014,(NADP+)-dependent malate dehydrogenase (oxaloacetate-decarboxylating),outputs/json_dataset/full/protein_000014.json,outputs/json_dataset/best_only/protein_000014.json,unresolved,false,,0,descriptive_deferred
protein_000015,(NADP+)-dependent MDH,outputs/json_dataset/full/protein_000015.json,outputs/json_dataset/best_only/protein_000015.json,unresolved,false,,0,descriptive_deferred
protein_000016,(NADP+)-dependent MDH (oxaloacetate-decarboxylating),outputs/json_dataset/full/protein_000016.json,outputs/json_dataset/best_only/protein_000016.json,unresolved,false,,0,descriptive_deferred
protein_000017,"(R, R)-2,3-butanediol dehyd1rogenase",outputs/json_dataset/full/protein_000017.json,outputs/json_dataset/best_only/protein_000017.json,unresolved,false,,0,descriptive_deferred
protein_000018,(S)-2-hydroxy-acid oxidase,outputs/json_dataset/full/protein_000018.json,outputs/json_dataset/best_only/protein_000018.json,unresolved,false,,0,descriptive_deferred
protein_000019,05,outputs/json_dataset/full/protein_000019.json,outputs/json_dataset/best_only/protein_000019.json,unresolved,false,,0,noise_skipped
protein_000020,06,outputs/json_dataset/full/protein_000020.json,outputs/json_dataset/best_only/protein_000020.json,unresolved,false,,0,noise_skipped
protein_000021,08,outputs/json_dataset/full/protein_000021.json,outputs/json_dataset/best_only/protein_000021.json,unresolved,false,,0,noise_skipped
protein_000022,"1,3-beta-glucanases",outputs/json_dataset/full/protein_000022.json,outputs/json_dataset/best_only/protein_000022.json,unresolved,false,,0,descriptive_deferred
protein_000023,"1,3-β glucanases",outputs/json_dataset/full/protein_000023.json,outputs/json_dataset/best_only/protein_000023.json,unresolved,false,,0,descriptive_deferred
protein_000024,"1,3-β-glucanases",outputs/json_dataset/full/protein_000024.json,outputs/json_dataset/best_only/protein_000024.json,unresolved,false,,0,descriptive_deferred
protein_000025,"1,4-beta-D-xylan synthase",outputs/json_dataset/full/protein_000025.json,outputs/json_dataset/best_only/protein_000025.json,unresolved,false,,0,descriptive_deferred
protein_000026,1-acyl-sn-glycerol-3-phosphate acyltransferase-like,outputs/json_dataset/full/protein_000026.json,outputs/json_dataset/best_only/protein_000026.json,unresolved,false,,0,descriptive_deferred
protein_000027,1-amino cyclopropane 1-carboxylic acid oxidase,outputs/json_dataset/full/protein_000027.json,outputs/json_dataset/best_only/protein_000027.json,unresolved,false,,0,descriptive_deferred
protein_000028,1-aminociclopropano-1-carboxilato deaminase,outputs/json_dataset/full/protein_000028.json,outputs/json_dataset/best_only/protein_000028.json,unresolved,false,,0,descriptive_deferred
protein_000029,1-aminocyclopropane carboxylate oxidase,outputs/json_dataset/full/protein_000029.json,outputs/json_dataset/best_only/protein_000029.json,unresolved,false,,0,descriptive_deferred
protein_000030,1-aminocyclopropane carboxylate oxidases,outputs/json_dataset/full/protein_000030.json,outputs/json_dataset/best_only/protein_000030.json,unresolved,false,,0,descriptive_deferred
protein_000031,1-aminocyclopropane-1-carboxylate (ACC) deaminase,outputs/json_dataset/full/protein_000031.json,outputs/json_dataset/best_only/protein_000031.json,unresolved,false,,0,descriptive_deferred
protein_000032,1-aminocyclopropane-1-carboxylate (ACC) synthase,outputs/json_dataset/full/protein_000032.json,outputs/json_dataset/best_only/protein_000032.json,unresolved,false,,0,descriptive_deferred
protein_000033,1-aminocyclopropane-1-carboxylate deaminase,outputs/json_dataset/full/protein_000033.json,outputs/json_dataset/best_only/protein_000033.json,unresolved,false,,0,descriptive_deferred
protein_000034,1-aminocyclopropane-1-carboxylate oxidase,outputs/json_dataset/full/protein_000034.json,outputs/json_dataset/best_only/protein_000034.json,unresolved,false,,0,descriptive_deferred
protein_000035,1-aminocyclopropane-1-carboxylate oxidase 1,outputs/json_dataset/full/protein_000035.json,outputs/json_dataset/best_only/protein_000035.json,unresolved,false,,0,descriptive_deferred
protein_000036,1-aminocyclopropane-1-carboxylate oxidase 3,outputs/json_dataset/full/protein_000036.json,outputs/json_dataset/best_only/protein_000036.json,unresolved,false,,0,descriptive_deferred
protein_000037,1-aminocyclopropane-1-carboxylate oxidase homolog 1-like,outputs/json_dataset/full/protein_000037.json,outputs/json_dataset/best_only/protein_000037.json,unresolved,false,,0,descriptive_deferred
protein_000038,1-aminocyclopropane-1-carboxylate oxidases,outputs/json_dataset/full/protein_000038.json,outputs/json_dataset/best_only/protein_000038.json,unresolved,false,,0,descriptive_deferred
protein_000039,1-aminocyclopropane-1-carboxylate synthase,outputs/json_dataset/full/protein_000039.json,outputs/json_dataset/best_only/protein_000039.json,unresolved,false,,0,descriptive_deferred
protein_000040,1-aminocyclopropane-1-carboxylate synthase gene,outputs/json_dataset/full/protein_000040.json,outputs/json_dataset/best_only/protein_000040.json,unresolved,false,,0,descriptive_deferred
protein_000041,1-aminocyclopropane-1-carboxylate synthases,outputs/json_dataset/full/protein_000041.json,outputs/json_dataset/best_only/protein_000041.json,unresolved,false,,0,descriptive_deferred
protein_000042,1-aminocyclopropane-1-carboxylic acid deaminase,outputs/json_dataset/full/protein_000042.json,outputs/json_dataset/best_only/protein_000042.json,unresolved,false,,0,descriptive_deferred
protein_000043,1-aminocyclopropane-1-carboxylic acid oxidase,outputs/json_dataset/full/protein_000043.json,outputs/json_dataset/best_only/protein_000043.json,unresolved,false,,0,descriptive_deferred
protein_000044,1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID OXIDASE2,outputs/json_dataset/full/protein_000044.json,outputs/json_dataset/best_only/protein_000044.json,unresolved,false,,0,descriptive_deferred
protein_000045,1-cys peroxiredoxin A,outputs/json_dataset/full/protein_000045.json,outputs/json_dataset/best_only/protein_000045.json,unresolved,false,,0,descriptive_deferred
protein_000046,1-deoxy-D-xylulose 5-phosphate reductoisomerase,outputs/json_dataset/full/protein_000046.json,outputs/json_dataset/best_only/protein_000046.json,unresolved,false,,0,descriptive_deferred
protein_000047,1-Deoxy-D-Xylulose 5-Phosphate Synthase,outputs/json_dataset/full/protein_000047.json,outputs/json_dataset/best_only/protein_000047.json,unresolved,false,,0,descriptive_deferred
protein_000048,1-deoxy-D-xylulose-5-phosphate reductoisomerase,outputs/json_dataset/full/protein_000048.json,outputs/json_dataset/best_only/protein_000048.json,unresolved,false,,0,descriptive_deferred
protein_000049,1-deoxy-D-xylulose-5-phosphate synthase,outputs/json_dataset/full/protein_000049.json,outputs/json_dataset/best_only/protein_000049.json,unresolved,false,,0,descriptive_deferred
protein_000050,1-deoxy-D-xylulose-5-phosphate synthase gene,outputs/json_dataset/full/protein_000050.json,outputs/json_dataset/best_only/protein_000050.json,unresolved,false,,0,descriptive_deferred
protein_000051,1-O-acylglucose: anthocyanin acyltransferase,outputs/json_dataset/full/protein_000051.json,outputs/json_dataset/best_only/protein_000051.json,unresolved,false,,0,descriptive_deferred
protein_000052,1-phosphatidylinositol-4-phosphate 5-kinase,outputs/json_dataset/full/protein_000052.json,outputs/json_dataset/best_only/protein_000052.json,unresolved,false,,0,descriptive_deferred
protein_000053,1-pyrrolidone-5-carboxylate synthase,outputs/json_dataset/full/protein_000053.json,outputs/json_dataset/best_only/protein_000053.json,unresolved,false,,0,descriptive_deferred
protein_000054,1-pyrroline-5-carboxylate dehydrogenase,outputs/json_dataset/full/protein_000054.json,outputs/json_dataset/best_only/protein_000054.json,unresolved,false,,0,descriptive_deferred
protein_000055,1-pyrroline-5-carboxylate synthase,outputs/json_dataset/full/protein_000055.json,outputs/json_dataset/best_only/protein_000055.json,unresolved,false,,0,descriptive_deferred
protein_000056,1-SST,outputs/json_dataset/full/protein_000056.json,outputs/json_dataset/best_only/protein_000056.json,unresolved,false,,0,descriptive_deferred
protein_000057,1.1.1.195,outputs/json_dataset/full/protein_000057.json,outputs/json_dataset/best_only/protein_000057.json,unresolved,false,,0,descriptive_deferred
protein_000058,1.14.14.91,outputs/json_dataset/full/protein_000058.json,outputs/json_dataset/best_only/protein_000058.json,unresolved,false,,0,descriptive_deferred
protein_000059,1.14.20.6,outputs/json_dataset/full/protein_000059.json,outputs/json_dataset/best_only/protein_000059.json,unresolved,false,,0,descriptive_deferred
protein_000060,1.2.1.44,outputs/json_dataset/full/protein_000060.json,outputs/json_dataset/best_only/protein_000060.json,unresolved,false,,0,descriptive_deferred
protein_000061,1.3,outputs/json_dataset/full/protein_000061.json,outputs/json_dataset/best_only/protein_000061.json,unresolved,false,,0,descriptive_deferred
protein_000062,1.4,outputs/json_dataset/full/protein_000062.json,outputs/json_dataset/best_only/protein_000062.json,unresolved,false,,0,descriptive_deferred
protein_000063,1.5,outputs/json_dataset/full/protein_000063.json,outputs/json_dataset/best_only/protein_000063.json,unresolved,false,,0,descriptive_deferred
