dataset_tier,entity,bucket,sub_type,final_match_category,final_confidence_label,final_confidence_score,uniprot_accession,uniprot_entry_name,uniprot_organism,uniprot_source_tier,phytozome_code,phytozome_gene_id,phytozome_base_gene_id,sequence_length,has_sequence,expected_phytozome_code,expected_uniprot_mnemonic,original_match_status,original_match_type,original_confidence_tier,ambiguity_count,matched_species_category,species_match_status,species_resolution_status,candidate_summary,notes,source_phase,recovered_by_phase8,phase8_match_type,phase8_match_category,description_overlap_score,phase8_notes,phase8_quality_flag,phase8_quality_notes
confidence,A0A178WN35,A,uniprot_accession,species_confirmed_uniprot,high,85,A0A178WN35,A0A178WN35_ARATH,ARATH,trembl,,,,,false,,,matched,uniprot_accession_exact,1,4,species_confirmed_uniprot_match,species_confirmed,not_applicable,A0A178WN35|A0A178WN35_ARATH|ARATH|trembl,,6,false,,,,,ok,
confidence,A0A1B6PJK5,A,uniprot_accession,species_confirmed_uniprot,high,85,A0A1B6PJK5,A0A1B6PJK5_SORBI,SORBI,trembl,,,,,false,,,matched,uniprot_accession_exact,1,1,species_confirmed_uniprot_match,species_confirmed,not_applicable,A0A1B6PJK5|A0A1B6PJK5_SORBI|SORBI|trembl,,6,false,,,,,ok,
confidence,A0A1D5V3A3,A,uniprot_accession,species_confirmed_uniprot,high,85,A0A1D5V3A3,A0A1D5V3A3_WHEAT,WHEAT,trembl,,,,,false,,,matched,uniprot_accession_exact,1,2,species_confirmed_uniprot_match,species_confirmed,not_applicable,A0A1D5V3A3|A0A1D5V3A3_WHEAT|WHEAT|trembl,,6,false,,,,,ok,
confidence,A0A1D6JPH3,A,uniprot_accession,species_confirmed_uniprot,high,85,A0A1D6JPH3,A0A1D6JPH3_MAIZE,MAIZE,trembl,,,,,false,,,matched,uniprot_accession_exact,1,2,species_confirmed_uniprot_match,species_confirmed,not_applicable,A0A1D6JPH3|A0A1D6JPH3_MAIZE|MAIZE|trembl,,6,false,,,,,ok,
confidence,A0A1D6N358,A,uniprot_accession,species_confirmed_uniprot,high,85,A0A1D6N358,A0A1D6N358_MAIZE,MAIZE,trembl,,,,,false,,,matched,uniprot_accession_exact,1,2,species_confirmed_uniprot_match,species_confirmed,not_applicable,A0A1D6N358|A0A1D6N358_MAIZE|MAIZE|trembl,,6,false,,,,,ok,
confidence,A0A1D6P836,A,uniprot_accession,species_confirmed_uniprot,high,85,A0A1D6P836,A0A1D6P836_MAIZE,MAIZE,trembl,,,,,false,,,matched,uniprot_accession_exact,1,1,species_confirmed_uniprot_match,species_confirmed,not_applicable,A0A1D6P836|A0A1D6P836_MAIZE|MAIZE|trembl,,6,false,,,,,ok,
confidence,A0A1D6PIG1,A,uniprot_accession,species_confirmed_uniprot,high,85,A0A1D6PIG1,A0A1D6PIG1_MAIZE,MAIZE,trembl,,,,,false,,,matched,uniprot_accession_exact,1,1,species_confirmed_uniprot_match,species_confirmed,not_applicable,A0A1D6PIG1|A0A1D6PIG1_MAIZE|MAIZE|trembl,,6,false,,,,,ok,
confidence,A0A1S4BQJ5,A,uniprot_accession,species_confirmed_uniprot,high,85,A0A1S4BQJ5,A0A1S4BQJ5_TOBAC,TOBAC,trembl,,,,,false,,,matched,uniprot_accession_exact,1,1,species_confirmed_uniprot_match,species_confirmed,not_applicable,A0A1S4BQJ5|A0A1S4BQJ5_TOBAC|TOBAC|trembl,,6,false,,,,,ok,
confidence,A0A1U7YYQ4,A,uniprot_accession,species_confirmed_uniprot,high,85,A0A1U7YYQ4,A0A1U7YYQ4_NELNU,NELNU,trembl,,,,,false,,,matched,uniprot_accession_exact,1,1,species_confirmed_uniprot_match,species_confirmed,not_applicable,A0A1U7YYQ4|A0A1U7YYQ4_NELNU|NELNU|trembl,,6,false,,,,,ok,
confidence,A0A1U7ZTI7,A,uniprot_accession,species_confirmed_uniprot,high,85,A0A1U7ZTI7,A0A1U7ZTI7_NELNU,NELNU,trembl,,,,,false,,,matched,uniprot_accession_exact,1,1,species_confirmed_uniprot_match,species_confirmed,not_applicable,A0A1U7ZTI7|A0A1U7ZTI7_NELNU|NELNU|trembl,,6,false,,,,,ok,
